what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ltk.ui.refactoring,3.4.101.r352_v20100209,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1325813330458
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1325813330458
started,bundle,org.python.pydev.red_core,2.0.0.2011040403,"org.python.pydev.red_core",1325813337223
started,bundle,com.python.pydev,2.0.0.2011040403,"com.python.pydev",1325813337244
started,bundle,com.python.pydev.refactoring,2.0.0.2011040403,"com.python.pydev.refactoring",1325813337260
started,bundle,org.python.pydev.debug,2.0.0.2011040403,"org.python.pydev.debug",1325813337276
started,bundle,org.python.pydev.django,2.0.0.2011040403,"org.python.pydev.django",1325813337296
started,bundle,org.python.pydev.refactoring,2.0.0.2011040403,"org.python.pydev.refactoring",1325813337406
started,bundle,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui",1325813337514
started,bundle,org.python.pydev.jython,2.0.0.2011040403,"org.python.pydev.jython",1325813340499
error,log,,,"PythonInterpreterManager:Interpreter is not properly configured!\nPlease go to window > preferences > PyDev > Python Interpreters and configure it.\nIf this is not supposed to be a Python project, change the project type on the\nproject properties to the project you want (e.g.: Jython project).",1325813340554
error,log,,,"PythonInterpreterManager:Interpreter is not properly configured!\nPlease go to window > preferences > PyDev > Python Interpreters and configure it.\nIf this is not supposed to be a Python project, change the project type on the\nproject properties to the project you want (e.g.: Jython project).",1325813340555
error,log,,,"PythonInterpreterManager:Interpreter is not properly configured!\nPlease go to window > preferences > PyDev > Python Interpreters and configure it.\nIf this is not supposed to be a Python project, change the project type on the\nproject properties to the project you want (e.g.: Jython project).",1325813340556
error,log,,,"Unable to resolve module for:L/PythonSimple/src/ReverseString.py",1325813340690
started,bundle,com.python.pydev.codecompletion,2.0.0.2011040403,"com.python.pydev.codecompletion",1325813340736
started,bundle,org.eclipse.compare.core,3.5.0.I20090430-0408,"org.eclipse.compare.core",1325813341528
opened,editor,org.python.pydev,2.0.0.2011040403,"org.python.pydev.editor.PythonEditor",1325813341595
activated,editor,org.python.pydev,2.0.0.2011040403,"org.python.pydev.editor.PythonEditor",1325813341834
started,bundle,org.eclipse.core.variables,3.2.200.v20090521,"org.eclipse.core.variables",1325813341843
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1325813344179
activated,editor,org.python.pydev,2.0.0.2011040403,"org.python.pydev.editor.PythonEditor",1325813345639
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325813347749
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325813349208
activated,view,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.views.ProblemView",1325813353970
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1325813359366
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1325813366617
started,bundle,org.eclipse.jdt.debug,3.5.0.v20090526,"org.eclipse.jdt.debug",1325813366796
started,bundle,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui",1325813366931
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1325813366959
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.refresh",1325813368570
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.refresh",1325813373931
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325813378341
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325813401924
opened,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1325813402472
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1325813403616
no handler,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.refresh",1325813419739
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1325813421759
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.refresh",1325813422214
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1325813426028
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1325813428139
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.refresh",1325813429284
executed,command,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.commands.RunLast",1325813438466
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1325813439602
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325813450440
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325813464798
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1325813467846
activated,editor,org.python.pydev,2.0.0.2011040403,"org.python.pydev.editor.PythonEditor",1325813469546
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325813471175
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325813472652
executed,command,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.commands.RunLast",1325813472658
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325813478500
error,log,,,"Unable to get project for the run",1325813491730
error,log,,,"Unable to get project for the run",1325813491828
error,log,,,"Unable to get project for the run",1325813491861
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325813496355
executed,command,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1325813496376
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1325813498528
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325813501056
closed,editor,org.python.pydev,2.0.0.2011040403,"org.python.pydev.editor.PythonEditor",1325813507560
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325813507632
executed,command,org.eclipse.ltk.ui.refactoring,3.4.101.r352_v20100209,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1325813507638
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1325813507638
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1325813515444
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1325813515525
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325813519997
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325813521743
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325813521749
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325813523885
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1325813523898
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1325813530148
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1325813530245
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1325813537912
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1325813538129
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1325813538206
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325813539703
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325813561264
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1325813561278
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325813563428
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325813572530
executed,command,org.eclipse.ltk.ui.refactoring,3.4.101.r352_v20100209,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1325813572536
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1325813572536
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325813590947
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325813593245
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325813593806
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325813600372
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325813603587
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1325813605002
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1325813605052
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325813605095
executed,command,org.eclipse.ltk.ui.refactoring,3.4.101.r352_v20100209,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1325813605100
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1325813605100
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325813607068
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325813608208
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325813608216
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325813640499
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325813644063
error,log,,,"Internal Error",1325813645852
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325813659289
executed,command,org.eclipse.ltk.ui.refactoring,3.4.101.r352_v20100209,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1325813659296
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1325813659296
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325813666513
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325813690652
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325813697999
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325813749905
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325813751551
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325813752233
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325813753438
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325814032330
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1325814036913
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1325814036985
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1325814040018
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1325814040263
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1325814040330
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1325814065248
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1325814077671
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1325814092661
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1325814092709
executed,command,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.commands.RunLast",1325814094270
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1325814095907
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1325814117041
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325814126145
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325814228550
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.refresh",1325814232649
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1325814245701
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.refresh",1325814247992
executed,command,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.commands.RunLast",1325814253491
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325814253501
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325814255566
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1325814258007
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.refresh",1325814259608
executed,command,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.commands.RunLast",1325814273318
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325814273329
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325814274714
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1325814276542
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1325814277763
executed,command,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.commands.RunLast",1325814278634
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325814278646
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325814280522
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1325814281227
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1325814299403
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1325814303413
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1325814307132
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1325814307423
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1325814316754
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325814328511
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325814370117
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1325814371569
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325814374399
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325814397707
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.properties",1325814397727
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1325814401348
